ProjectID	Project Title	PAAS Code	Approval Status	Fund	PAG Value	Start Date	End Date	Country(ies)	Lead Org Unit	Theme(s)	Donor(s)	Total Expenditure	Total Contribution	Total Contribution - Total Expenditure	Total PSC
1699	FSRAS11S01: Rehabilitation and Reconstruction Facility Phase V	D321	Pending Approval	QXB	47,300	1-Jan-11	31-Dec-11	Regional - Asia		Risk Reduction and Rehabilitation	PM of Japan to the United Nations	47,300	47,300	0	5,442
1700	FDRAS11S02: Enhancement of Technical Cooperation towards Environmentaly Sustainability	D322	Pending Approval	FJP	91,890	1-Apr-11	31-Dec-12	Japan	Regional Office for Asia and the Pacific	Urban Planning and Design	PM of Japan to the United Nations	91,890	91,890	0	10,571
1701	XBCPR11X01: Low Carbon Economy and Sustainable Urban Development Pilot Project - Jiangyin Non-Development Zone Practice	D323	Pending Approval	QXB	120,979	1-Jan-11	31-Jan-14	China	Regional Office for Asia and the Pacific	Urban Basic Services	Construction Bureau of Jiangyin City , CONSTRUCTION BUREAU OF JIANGYIN CITY	119,806	120,979	1,173	10,891
1702	XBMYA11X02: Emergency Shelter Support for Homeless and Vulnerable Populations in	D324	Pending Approval	QXB	499,904	15-Mar-11	31-Dec-11	Myanmar		Risk Reduction and Rehabilitation	Office for the Coordination of Humanitarian Affairs (OCHA)	499,904	499,904	0	32,704
1703	XBPAK11X02: Geographic Information System (GIS) Capacity Building for National Population Census	D325	Pending Approval	QXB	2,465,948	1-Feb-11	31-Dec-13	Pakistan	Regional Office for Asia and the Pacific	Research and Capacity Development	UNFPA Pakistan , UNFPA-PAKISTAN	2,514,271	2,523,897	9,626	164,485
1704	XBMYA11X03: Rakhine Settlement Support Project (RSSP)	D326	Pending Approval	QXB	1,046,051	18-Apr-11	17-Apr-12	Myanmar	Regional Office for Asia and the Pacific	Housing and Slum Upgrading	PM of Norway to the United Nations, PM OF NORWAY TO THE UNITED NATIONS	1,016,703	1,044,007	27,304	68,293
1705	SRL11X01: Support to Conflict Affected People Through Housing (AusAid)	D327	Pending Approval	QXB	3,500,000	1-Apr-11	31-Mar-12	Sri Lanka	Regional Office for Asia and the Pacific	Risk Reduction and Rehabilitation	AusAID, AUSTRALIAN AGENCY FOR INTL DEVELOPMENT (AUSAID)	3,628,040	3,619,643	-8,397	236,800
1707	XBHAI11X03: Gestation des debris dans les quartiers precaires de Port-au-Prince	F098	Pending Approval	QXB	1,598,326	1-Jan-11	31-May-16	Haiti	Regional Office for Latin America and Caribbean	Risk Reduction and Rehabilitation	UNDP Res Rep Haiti , UNDP-HAITI	1,142,822	1,598,326	455,504	74,591
1708	XBHAI11X01: Coordination of the Haiti Shelter Cluster by UN-Habitat	F099	Pending Approval	QXB	463,743	1-Jan-11	31-May-16	Haiti	Regional Office for Latin America and Caribbean	Urban Land, Legislation & Governance	CARE International , European Union , GROUP OF SPONSORS	568,695	566,826	-1,869	38,921
1709	XBHAI11X02: UN-HABITAT Emergency and Recovery Response to Haiti Earthquake: Community-based response to Cholera	F100	Pending Approval	QXB	261,262	1-Jan-11	31-Dec-11	Haiti	Regional Office for Latin America and Caribbean	Risk Reduction and Rehabilitation		254,279	261,292	7,013	16,635
1711	FDGLO11F02: Slum Upgrading and Prevention and Sustainable Housing Solutions thro	G061	Pending Approval	FNE	40,000	1-Jan-11	31-Dec-11	GLOBAL		Housing and Slum Upgrading		0	0	0	0
